dia_semana,ano,data,adversario,publico_pagante,publico_presente,renda_bruta,estadio,campeonato,placar,horario
"quarta-feira,",2017,8 de novembro,Cruzeiro,5.910,7.111,"R$ 209.100,00",Luso-Brasileiro,33ª rodada do Campeonato Brasileiro 2017,2 × 0,às 21:45
"domingo,",2017,12 de novembro,Fluminense,6.530,8.644,"R$ 102.844,00",Mineirão,34ª rodada do Campeonato Brasileiro 2017,3 × 1,às 21:45
"quarta-feira,",2017,15 de novembro,Avaí,7.170,9.259,"R$ 107.928,00",Mineirão,35ª rodada do Campeonato Brasileiro 2017,2 × 2,às 19:30
"domingo,",2017,19 de novembro,Cruzeiro,13.095,14.315,"R$ 140.774,00",Barradão,36ª rodada do Campeonato Brasileiro 2017,1 × 1,às 17:00
"domingo,",2017,26 de novembro,Vasco,12.212,14.930,"R$ 256.355,00",Mineirão,37ª rodada do Campeonato Brasileiro 2017,0 × 1,às 17:00
"domingo,",2017,3 de dezembro,Cruzeiro,18.354,20.636,"R$ 256.700,00",Engenhão,38ª rodada do Campeonato Brasileiro 2017,2 × 2,às 17:00
"quarta-feira,",2018,17 de janeiro,Tupi,39.025 (25.581 sócios),42.484,"R$ 529.917,00",Mineirão,1ª rodada do Campeonato Mineiro 2018,2 × 0,às 21:45
"sábado,",2018,20 de janeiro,Cruzeiro,4.431,Não disponível,"R$ 139.450,00",Ronaldão,2ª rodada do Campeonato Mineiro 2018,0 × 0,às 21:30
"quarta-feira,",2018,24 de janeiro,Uberlândia,20.109 (14.795 sócios),25.242,"R$ 252.384,00",Mineirão,3ª rodada do Campeonato Mineiro 2018,4 × 0,às 21:45
"sábado,",2018,27 de janeiro,Cruzeiro,14.751,Não disponível,"R$ 781.290,00",Ipatingão,4ª rodada do Campeonato Mineiro 2018,1 × 2,às 19:00
"domingo,",2018,4 de fevereiro,América-MG,31.910 (42.685 sócios),50.794,"R$ 608.231,00",Mineirão,5ª rodada do Campeonato Mineiro 2018,1 × 0,às 17:00
"sexta-feira,",2018,9 de fevereiro,Cruzeiro,8.238,Não disponível,"R$ 437.630,00",Mamudão,6ª rodada do Campeonato Mineiro 2018,0 × 2,às 21:30
"sábado,",2018,17 de fevereiro,Villa Nova-MG,19.196 (23.454 sócios),31.705,"R$ 406.112,00",Mineirão,7ª rodada do Campeonato Mineiro 2018,1 × 0,às 16:30
"sábado,",2018,24 de fevereiro,Boa Esporte,10.936 (12.609 sócios),17.671,"R$ 188.929,00",Mineirão,8ª rodada do Campeonato Mineiro 2018,3 × 0,às 16:30
"terça-feira,",2018,27 de fevereiro,Cruzeiro,Não disponível,Não disponível,Não informado,El Cilindro,1ª rodada - Fase de Grupos (Grupo 5) da Copa Libertadores da América 2018,4 × 2,às 21:30
"domingo,",2018,4 de março,Cruzeiro,18.750,Não disponível,"R$ 518.756,00",Independência,9ª rodada do Campeonato Mineiro 2018,0 × 1,às 11:00
"quarta-feira,",2018,7 de março,URT,17.599 (15.366 sócios),22.962,"R$ 219.508,00",Mineirão,10ª rodada do Campeonato Mineiro 2018,3 × 0,às 21:45
"domingo,",2018,11 de março,Cruzeiro,6.471,Não disponível,"R$ 328.020,00",Pedro Alves do Nascimento,11ª rodada do Campeonato Mineiro 2018,1 × 1,às 17:00
"sábado,",2018,17 de março,Patrocinense,13.431 (10.155 sócios),16.603,"R$ 326.850,00",Mineirão,Jogo único - Quartas de final do Campeonato Mineiro 2018,2 × 0,às 16:00
"quarta-feira,",2018,21 de março,Cruzeiro,8.238,Não disponível,"R$ 210.700,00",Mário Helênio,Jogo de ida - Semi-Final do Campeonato Mineiro 2018,0 × 1,às 21:45
"domingo,",2018,25 de março,Tupi,45.624 (37.792 sócios),48.566,"R$ 753.999,00",Mineirão,Jogo de volta - Semi-Final do Campeonato Mineiro 2018,2 × 1,às 11:00
"domingo,",2018,1 de abril,Cruzeiro,20.307,21.215,"R$ 580.025,00",Independência,Jogo de ida - Final do Campeonato Mineiro 2018,3 × 1,às 16:00
"quarta-feira,",2018,4 de abril,Vasco,35.033,38.019,"R$ 1.877.854,00",Mineirão,2ª rodada - Fase de Grupos (Grupo 5) da Copa Libertadores da América 2018,0 × 0,às 21:45
"domingo,",2018,8 de abril,Atlético-MG,44.230 (31.515 sócios),49.906,"R$ 1.590.653,00",Mineirão,Jogo de volta - Final do Campeonato Mineiro 2018,2 × 0,às 16:00
"sábado,",2018,14 de abril,Grêmio,15.252 (10.953 sócios),19.285,"R$ 418.305,00",Mineirão,1ª rodada do Campeonato Brasileiro 2018,0 × 1,às 16:00
"quinta-feira,",2018,19 de abril,Cruzeiro,45.084,Não disponível,Não informado,Nacional de Chile,3ª rodada - Fase de Grupos (Grupo 5) da Copa Libertadores da América 2018,0 × 0,às 21:30
